TODO: FIX HORSE

いきもの,生き物,living creatures
ばけもの,化け物,monster
どうぶつ,動物,animal
チーター,cheetah
いぬ,犬,dog
ねこ,猫,cat
うし,牛,cow
ぶた,豚,pig
うま,馬,horse
ひつじ,羊,sheep
さる,猿,monkey
ねずみ,鼠,mouse,rat
とら,虎,tiger
オオカミ,狼,wolf
うさぎ,兎,rabbit
りゅう,たつ,竜,dragon
しか,鹿,deer
がま,蟇,toad
しし,獅子,lion
キリン,麒麟,giraffe
ぞう,象,elephant
とり,鳥,bird
にわとり,鶏,chicken
すずめ,雀,sparrow
からす,烏,crow,raven
わし,鷲,eagle
たか,鷹,hawk,falcon
さかな,魚,fish
たい,鯛,red snapper
えび,海老,shrimp,lobster
いわし,鰯,sardine
まぐろ,鮪,tuna
かつお,鰹,bonito
さんま,秋刀魚,pike
あじ,鰺,horse
さば,鯖,mackerel
イカ,烏賊,squid
タコ,蛸,章魚,octopus
むし,虫,insect
ちょう,蝶,butterfly
ガ,蛾,moth
せみ,蝉,cicada
トンボ,蜻蛉,dragonfly
バッタ,飛蝗,grasshopper
クモ,蜘蛛,spider
ホタル,蛍,firefly
ハエ,蝿,蠅,housefly
カ,蚊,mosquito,gnat
ゴキブリ,蜚蠊,cockroach
カタツムリ,蝸牛,snail
ナメクジ,蛞蝓,slug
ミミズ,蚯蚓,earthworm
かい,貝,shellfish
かいがら,貝殻,shell
トカゲ,蜥蜴,lizard
へび,蛇,snake
