⼀		one, horizontal stroke	いち		
⼁		vertical stroke	たてぼう		
⼂		dot	てん		
⼃		diagonal sweeping stroke	の		
	かんむり Radical on the top	diagonal sweeping stroke	のかんむり	a variant of ⼃（の）	
⼄		the second	おつ		
⺃		the second	おつ	a variant of ⼄（おつ）	
⼅		vertical stroke with a hook	はねぼう		
⼆		two	に		
⼇	かんむり Radical on the top	lid, top	なべぶた		Important
⼈		person	ひと		
⺅	へん Radical on the left	person	にんべん	a variant of ⼈（ひと）	Important
𠆢	かんむり Radical on the top	person	ひとやね	a variant of ⼈（ひと）	Important
⼉	あし Radical on the bottom	human legs	ひとあし		Important
⼊		to enter	いる		
⼋		eight	はち		
		eight	はちがしら	a variant of ⼋（はち）	
⼌	けいがまえ Radical which encloses the kanji	to enclose	けいがまえ		
⼍	かんむり Radical on the top	cover, crown	わかんむり		Important
⼎	へん Radical on the left	ice	にすい		
⼏	つくり Radical on the right	table	きにょう		
⺇	かんむり Radical on the top	wind	かぜかんむり	a variant of ⼏（きにょう）	
⼐	にょう Radical which wraps around the bottom	container, open box	かんにょう		
⼑		knife, sword	かたな		
⺉	つくり Radical on the right	knife, sword	りっとう	a variant of ⼑（かたな）	Important
⼒		power	ちから		
⼓	つつみがまえ Radical which encloses the kanji	to wrap	つつみがまえ		
⼔	つくり Radical on the right	spoon	さじ		
⼕	はこがまえ Radical which encloses the kanji	box	はこがまえ		
⼖	はこがまえ Radical which encloses the kanji	to conceal, hide	かくしがまえ		
⼗		ten	じゅう		
⼘		oracle	ぼく		
⼙	つくり Radical on the right	stamp, seal	ふしづくり		
⼚	たれ Radical which ‘hangs down’	cliff	がんだれ		Important
⼛		private, Katakana Mu	む		
⼜		again, right hand	また		
⼝		mouth	くち		
	へん Radical on the left	mouth	くちへん	a variant of ⼝（くち）	Important
⼞	くにがまえ Radical which encloses the kanji	border, territorial boundaries	くにがまえ		Important
⼟		earth	つち		
	へん Radical on the left	earth	つちへん	a variant of ⼟（つち）	Important
⼠		man, scholar, samurai	さむらい		
	かんむり Radical on the top	man, scholar, samurai	さむらいかんむり	a variant of ⼠（さむらい）	
⼡		to follow	のまた		
⼢	あし Radical on the bottom	to go slowly	なつあし		
⼣		evening	ゆうべ		
⼤		large, big	だい		
⼥		woman	おんな		
	へん Radical on the left	woman	おんなへん	a variant of ⼥（おんな）	Important
⼦		child, son	こ		
	へん Radical on the left	child, son	こへん	a variant of ⼦（こ）	Important
⼧	かんむり Radical on the top	roof, house	うかんむり		Important
⼨		inch, (2.25 cm)	すん		
	つくり Radical on the right	inch, (2.25 cm)	すんづくり	a variant of ⼨（すん）	
⼩		small	しょう		
⺌	かんむり Radical on the top	small	しょうかんむり	a variant of ⼩（しょう）	
⺐	つくり Radical on the right	lame leg	だいのまげあし		
⼫	たれ Radical which ‘hangs down’	corpse, awning	しかばね		
⼬		sprout	くさのめ		
⼭		mountain	やま		
	へん Radical on the left	mountain	やまへん	a variant of ⼭（やま）	
	かんむり Radical on the top	mountain	やまかんむり	a variant of ⼭（やま）	
⼮		winding river	まがりがわ		
川		river	さんぼんがわ	a variant of ⼮（まがりがわ）	
⼯		work, carpenter, skill	たくみ		
	へん Radical on the left	work, carpenter, skill	たくみへん	a variant of ⼯（たくみ）	
⼰		self	おのれ		
⼱		cloth	はば		
	へん Radical on the left	cloth	はばへん	a variant of ⼱（はば）	
⼲		to dry, shield	かん		
⺓		young, slight	いとがしら		
⼴	たれ Radical which ‘hangs down’	slanting roof	まだれ		Important
⼵	にょう Radical which wraps around the bottom	to move, stretch	えんにょう		
⼶	あし Radical on the bottom	folded hands	にじゅうあし		
⼷		javelin	いぐるみ		
⼸		bow （in archery）	ゆみ		
	へん Radical on the left	bow （in archery）	ゆみへん	a variant of ⼸（ゆみ）	
⼹		pig’s head	けいがしら		
⺕		pig’s head	けいがしら	a variant of ⼹（けいがしら）	
⺔		pig’s head	けいがしら	a variant of ⼹（けいがしら）	
⼺	つくり Radical on the right	hair-style, light rays	さんづくり		
⼻	へん Radical on the left	step, stride, street, to go	ぎょうにんべん		Important
⺾	かんむり Radical on the top	grass	くさかんむり	a variant of ⾋（くさ）	Important
⻌	にょう Radical which wraps around the bottom	road, walk, to advance	しんにょう	a variant of ⾡（しんにょう）	Important
⻏	つくり Radical on the right	village, country, city	おおざと	a variant of ⾢（むら）	Important
⻖	へん Radical on the left	hill, mound	こざとへん	a variant of ⾩（こざと）	Important
⺍	かんむり Radical on the top	Katakana Tsu	つ		
⺖	へん Radical on the left	heart, mind, spirit	りっしんべん	a variant of ⼼（こころ）	Important
⺘	へん Radical on the left	hand	てへん	a variant of ⼿（て）	Important
⺡	へん Radical on the left	water	さんずい	a variant of ⽔（みず）	Important
⺨	へん Radical on the left	beast	けものへん	a variant of ⽝（いぬ）	Important
⼼		heart, mind, spirit	こころ		
⺗	あし Radical on the bottom	heart, mind, spirit	したごころ	a variant of ⼼（こころ）	
⼽		spear, weapon	ほこ		
⼾		door	と		
	たれ Radical which ‘hangs down’	door	とだれ	a variant of ⼾（と）	
⼿		hand	て		
⽀		branch	しにょう		
⽁	つくり Radical on the right	activity, to strike, hit	ぼくづくり		
⺙	つくり Radical on the right	activity, to strike, hit	ぼくづくり	a variant of ⽁（ぼくづくり） 	Important
⽂		literature, letters	ぶん		
⽃	つくり Radical on the right	big dipper, ladle, 18 liters	ますづくり		
⽄	つくり Radical on the right	axe	おのづくり		
⽅		direction, flag	ほう		
	へん Radical on the left	direction, flag	ほうへん	a variant of ⽅（ほう）	
⽆		not	むにょう		
⽇		sun, day, time	ひ		
	へん Radical on the left	sun, day, time	ひへん	a variant of ⽇（ひ）	Important
⽈		to say	ひらび		
⽉		moon, month, period	つき		
⺝	へん Radical on the left	moon, month, period	つきへん	a variant of ⽉（つき）	
		meat, flesh	にくづき	a variant of ⾁（にく）	Important
⽊		tree, wood	き		
	へん Radical on the left	tree, wood	きへん	a variant of ⽊（き）	Important
⽋		to lack, yawn	あくび		
⽌		to stop	とめる		
⽍		death & dying, to decompose	がつ		
	へん Radical on the left	death & dying, to decompose	がつへん	a variant of ⽍（がつ）	
⽎	つくり Radical on the right	lance shaft, action	るまた		
⽏		not, mother	なかれ		
⽐		to compare	くらべる		
⽑		hair	け		
⽒		family, clan	うじ		
⽓	きがまえ Radical which encloses the kanji	steam, air	きがまえ		
⽔		water	みず		
⽕		fire	ひ		
	へん Radical on the left	fire	ひへん	a variant of ⽕（ひ）	Important
⺣	あし Radical on the bottom	fire	れっか	a variant of ⽕（ひ）	Important
⽖		claw, nail	つめ		
⺤	かんむり Radical on the top	claw, nail	つめかんむり	a variant of ⽖（つめ）	
爫	かんむり Radical on the top	claw, nail	つめかんむり	a variant of ⽖（つめ）	
⽗		father	ちち		
⽘		to mix	こう		
⽙	へん Radical on the left	split wood	しょうへん		
⽚		split wood	かた		
	へん Radical on the left	split wood	かたへん	a variant of ⽚（かた）	
		fang, canine tooth	きば		
⽜		cow	うし		
	へん Radical on the left	cow	うしへん	a variant of ⽜（うし）	
⽝		dog	いぬ		
	へん Radical on the left	jewelry, jeweled king	おうへん	a variant of ⽟（たま）	Important
⺭	へん Radical on the left	altar, festival, religious service	しめすへん	a variant of ⽰（しめす）	Important
㓁		net	あみがしら	a variant of ⽹（あみ）	
⺹	かんむり Radical on the top	old, old-age	おいかんむり	a variant of ⽼（おいかんむり）	
⽞		darkness	げん		
⽟		jewelry	たま		
		melon	うり		
⽡		tile	かわら		
⽢		sweet	あまい		
⽣		birth, to be born, live	うまれる		
⽤		to use	もちいる		
⽥		rice paddy	た		
	へん Radical on the left	rice paddy	たへん	a variant of ⽥（た）	
⽦		bolt of cloth	ひき		
⺪	へん Radical on the left	bolt of cloth	ひきへん	a variant of ⽦（ひき）	
⽧	たれ Radical which ‘hangs down’	sickness	やまいだれ		Important
⽨	かんむり Radical on the top	outspread legs, departure	はつがしら		
⽩		white	しろ		
	へん Radical on the left	white	はくへん	a variant of ⽩（しろ）	
⽪		skin, hide	けがわ		
⽫		plate, bowl	さら		
⽬		eye	め		
	へん Radical on the left	eye	めへん	a variant of ⽬（め）	Important
	かんむり Radical on the top	eye	よこめ	a variant of ⽬（め）	
⽭		halberd	ほこ		
	へん Radical on the left	halberd	ほこへん	a variant of ⽭（ほこ）	
⽮		arrow	や		
	へん Radical on the left	arrow	やへん	a variant of ⽮（や）	
⽯		stone	いし		
	へん Radical on the left	stone	いしへん	a variant of ⽯（いし）	
⽰		altar, festival, religious service	しめす		
⽱		footprint	じゅうのあし		
⽲	へん Radical on the left	grain	のぎへん		Important
⽳		hole, cave	あな		
	かんむり Radical on the top	hole, cave	あなかんむり	a variant of ⽳（あな）	Important
⽴		to stand	たつ		
	へん Radical on the left	to stand	たつへん	a variant of ⽴（たつ）	
		fang, canine tooth	きば	a variant of （きば）	
	へん Radical on the left	fang, canine tooth	きばへん	a variant of ⽛（きば）	
氺		water	したみず	a variant of ⽔（みず）	
⺫	かんむり Radical on the top	net	あみがしら	a variant of ⽹（あみ）	
𦉰		net	あみがしら	a variant of ⽹（あみ）	
⻂	へん Radical on the left	clothing	ころもへん	a variant of ⾐（ころも）	Important
⺛		not	むにょう	a variant of ⽆（むにょう）	
⽵		bamboo	たけ		
⺮	かんむり Radical on the top	bamboo	たけかんむり	a variant of ⽵（たけ）	Important
⽶		rice	こめ		
	へん Radical on the left	rice	こめへん	a variant of ⽶（こめ）	Important
⽷		thread	いと		
	へん Radical on the left	thread	いとへん	a variant of ⽷（いと）	Important
