オレンジ,orange
レストラン,restaurant
きいろ,黄色,yellow
クモ,蜘蛛,spider
えび,海老,shrimp
きょう,今日,today
あらし,嵐,storm
かた,肩,shoulder
うさぎ,兎,rabbit
かんがえる,考える,to think
しゃべる,to talk
ひじ,肘,elbow
いもうと,妹,younger sister
きんにく,筋肉,muscle
くる,来る,to come
おじ,叔父,uncle
およぐ,泳ぐ,to swim
てんき,天気,weather
はなす,話す,to speak
わかる,分かる,to understand
バッタ,飛蝗,grasshopper
せみ,蝉,cicada
あした,明日,tomorrow
でる,出る,to come out
おとうと,弟,younger brother
トカゲ,蜥蜴,lizard
くつがえる,覆る,to overturn
しんせつ,親切,kind
すき,好き,likable
ホタル,蛍,firefly
さる,猿,monkey
さば,鯖,mackerel
ゆき,雪,snow
おきる,起きる,to wake; to occur
はれ,晴れ,clear weather
にぎる,握る,to grasp
ひげ,髭,beard
しずか,静か,quiet
