は,Indicantes the topic of a sentence
か,At the end of a sentence indicating a question
が,Indicates the subject of a sentence
に,Indicates a location
の,Indicates possession
は,Indicates a contrast between 2 items
に,Indicates time or frequency
へ,Indicates direction
を,Indicates the direct object of a verb
と,Used to connect and list up multiple items
や,Used to connect and partially list up multiple items
など,Used with や to partially list up multiple items
も,means “too”, “either”, “also”
も,both…and…, neither…nor…
に,Indicates the indirect object of a verb
に,Indicates the surface of a object where some action takes place
で,Indicates the location of an action
と,Together with
の,Indicates an apposition
から,Indicates a starting point in time or place
より,Indicates a starting point in time or place but more formal than kara
まで,Indicates a limit on time, space or quantity
くらい,Indicates an approximate amount
ほど,Indicates an approximate amount
ばかり,Indicates an approximate amount
で,Indicates a means or material
か,Indicates a choice or alternative
を,Indicates a point of departure
を,Indicates a route of a movement/motion
に,Indicates a point of arrival
に,Indicates an entering motion
に,Used together with a verb to express a purpose
と,Used when quoting someone
と いう,Indicates the name of something
とか,“something like”
で,Indicates a limit or scope
と,Indicates a comparison
より,Indicates a comparison
より,Indicates superlative
くらい,Indicates a comparison
ほど,Indicates a comparison in a negative sentence
か,someone, something
も,“nothing”, nobody”, nowhere” if used with an interrogative word
に,Used with a verb to indicate a change or choice
をする,Expresses an occupation or position
でも,Indicates emphasis
でも,Together with an interrogative word it means “anything”, “anyone”, any time”
で,Indicates a cause or a reason
から,Indicates a source such as a giver, a cause or material
に,Indicates a person who gives something or who provides a service
が,Connects two sentences with the meaning “but…”
を,Used with an verb expressing emotions, it indicates the cause of this emotion
で,Indicates a state / condition of something
で,Limits numbers
だけ,Indicates a limit on things or amounts
だけ,Indicates a limit on an action or state
で,Indicates the time of completion or expiration of something
でも,Following a noun, means “or something like this”
も,Emphasizes in a positive or negative way
でも,Indicates two or more items as an example of a larger list
ばかり,Indicates that an item, state or action is a single one
ばかり,Indicates an action was just completed
ところ,Indicates that an action takes place, just took place or is about to take place
が,Indicates the subject of subordinate clause when it is different from the subject of the main clause
から,conjunction meaning “after” or “since”
ながら,Indicates that an action is happening simultaneously
が,Indicates the subject of a relative clause
の,Indicates the subject of a relative clause
から,Used as a conjunction and indicates a cause or reason
ので,Indicates a strong reason
の,Indicates a modified pronoun
の,Used to nominalize verbs & sentences
なら,Used as a conjunction and indicates a supposition or condition
なら,Indicates a topics and is used as an alternative to wa (No.1)
と,Indicates a condition that results in an inevitable outcome
ば,Used as a conjunction to express a probable results
ばいい,“all you have to do…”
ば,Used to enumerate two or more actions or states
たら,Used as a conjunction, indicates a supposition or condition
